cod_mdr,dsc_situacao_contrato_mdr,dsc_situacao_objeto_mdr,programa,acao,uf_SIGLA_UF,mun_MUNNOMEX,Código IBGE,empreendimento,cluster_empreendimento,situacao_obra,situacao_obra_base_validacao,situacao_contrato,prc_fisico,dte_inicio_obra,dte_fim_obra,pop_beneficiada,vlr_investimento,Populacao,mun_ALTITUDE,mun_AREA,dte_antes_60,dte_depois_60,dte_antes_180,dte_depois_180,dte_antes_365,dte_depois_365,cont_antes_60,cont_depois_60,cont_antes_180,cont_depois_180,cont_antes_365,cont_depois_365,razao_antes_depois_60,diferenca_antes_depois_60,razao_antes_depois_180,diferenca_antes_depois_180,razao_antes_depois_365,diferenca_antes_depois_365,tot_veic
1-57749,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SP,CRAVINHOS,3513108.0,OBRAS DE INFRAESTRUTURA PARA NAO MOTORIZADOS DO MUNICIPIO DE CRAVINHOS/SP,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-04-02,2021-03-01,1812,1534244.24,35292.0,788.0,311341.0,2020-02-02,2021-04-30,2019-10-05,2021-08-28,2019-04-03,2022-03-01,1.0,6.0,6.0,26.0,27.0,41.0,0.1666666666666666,-5.0,0.2307692307692307,-20.0,0.6585365853658537,-14.0,24291.0
1-57758,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,RS,ARROIO DO MEIO,4301008.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE ARROIO DO MEIO,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-07-07,2021-03-01,6370,6203090.44,20805.0,54.0,157955.0,2019-05-08,2021-04-30,2019-01-08,2021-08-28,2018-07-07,2022-03-01,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,1.0,0.0,17882.0
1-57881,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,ABELARDO LUZ,4200101.0,PRO. TRANSPORTE - ABELARDO LUZ - QUALIFIC. VIARIA MUNICIPIO AVANCAR CIDADES GRUPO 1,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-10-10,2021-03-01,2510,2212436.71,17904.0,760.0,955368.0,2019-08-11,2021-04-30,2019-04-13,2021-08-28,2018-10-10,2022-03-01,2.0,0.0,8.0,4.0,30.0,18.0,inf,2.0,2.0,4.0,1.6666666666666667,12.0,11940.0
1-57883,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,MS,AQUIDAUANA,5001102.0,QUALIFICACAO VIARIA E ELABORACAO DE ESTUDOS E PROJETOS NO   MUNICIPIO DE AQUIDAUANA MS,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-03-02,2022-01-01,18378,16906868.419999998,47871.0,147.0,16958496.0,2020-01-02,2022-03-02,2019-09-04,2022-06-30,2019-03-03,2023-01-01,24.0,23.0,66.0,76.0,122.0,167.0,1.0434782608695652,1.0,0.868421052631579,-10.0,0.7305389221556886,-45.0,21308.0
1-57884,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,ARAQUARI,4201307.0,PRO. TRANSPORTE - ARAQUARI - QUALIFICACAO VIARIA MUNICIPIO  AVANCAR CIDADES GRUPO 1,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-02-03,2022-08-01,13141,11132015.55,38129.0,9.0,401831.0,2019-12-05,2022-09-30,2019-08-07,2023-01-28,2019-02-03,2023-08-01,1.0,6.0,13.0,14.0,35.0,28.0,0.1666666666666666,-5.0,0.9285714285714286,-1.0,1.25,7.0,20294.0
1-57889,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,MS,IVINHEMA,5004700.0,QUALIFICACAO VIARIA NO MUNICIPIO DE IVINHEMA MS,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-05-08,2021-11-01,6689,5663976.46,23187.0,362.0,2009887.0,2020-03-09,2021-12-31,2019-11-10,2022-04-30,2019-05-09,2022-11-01,7.0,11.0,29.0,33.0,59.0,71.0,0.6363636363636364,-4.0,0.8787878787878788,-4.0,0.8309859154929577,-12.0,19160.0
1-57890,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,JACINTO MACHADO,4208708.0,PRO. TRANSPORTE - JACINTO MACHADO - QUALIFICACAO VIARIA,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-05-24,2022-05-01,4805,4183531.12,10416.0,50.0,428650.0,2019-03-25,2022-06-30,2018-11-25,2022-10-28,2018-05-24,2023-05-01,3.0,1.0,8.0,5.0,11.0,16.0,3.0,2.0,1.6,3.0,0.6875,-5.0,9127.0
1-57893,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,RS,NOVA HARTZ,4313060.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE NOVA HARTZ/RS,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-11-21,2022-10-01,13025,11255626.95,21615.0,36.0,62558.0,2019-09-22,2022-11-30,2019-05-25,2023-03-30,2018-11-21,2023-10-01,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,-1.0,1.0,0.0,12224.0
1-57902,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,SCHROEDER,4217402.0,PRO. TRANSPORTE - SCHROEDER - QUALIFICACAO VIARIA MUNICIPIO AVANCAR CIDADES GRUPO 1,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-01-06,2021-03-01,5528,4680600.600000001,21365.0,38.0,143818.0,2019-11-07,2021-04-30,2019-07-10,2021-08-28,2019-01-06,2022-03-01,9.0,10.0,21.0,19.0,29.0,47.0,0.9,-1.0,1.105263157894737,2.0,0.6170212765957447,-18.0,12993.0
1-57907,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,PR,CORONEL VIVIDA,4106506.0,OBRAS DE INFRAESTRUTURA PARA NAO MOTORIZADOS DO MUNICIPIO DECORONEL VIVIDA,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-04-07,2021-08-01,3520,2980464.75,20734.0,700.0,684417.0,2020-02-07,2021-09-30,2019-10-10,2022-01-28,2019-04-08,2022-08-01,11.0,8.0,25.0,20.0,47.0,40.0,1.375,3.0,1.25,5.0,1.175,7.0,16444.0
1-57914,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,PR,PITANGA,4119608.0,PAVIMENTACAO BAIRRO CENTRAL 2,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-02-01,2022-04-01,2925,2592873.92,30310.0,952.0,1663747.0,2019-12-03,2022-05-31,2019-08-05,2022-09-28,2019-02-01,2023-04-01,19.0,22.0,60.0,65.0,111.0,145.0,0.8636363636363636,-3.0,0.9230769230769232,-5.0,0.7655172413793103,-34.0,23207.0
1-57915,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,PR,PITANGA,4119608.0,PAVIMENTACAO JARDIM PLANALTO 2,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-03-01,2022-05-01,3271,2769885.44,30310.0,952.0,1663747.0,2020-01-01,2022-06-30,2019-09-03,2022-10-28,2019-03-02,2023-05-01,16.0,16.0,63.0,68.0,111.0,149.0,1.0,0.0,0.9264705882352942,-5.0,0.7449664429530202,-38.0,23207.0
1-57916,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,PR,PITANGA,4119608.0,PAVIMENTACAO JARDIM PLANALTO 1,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-03-01,2022-05-01,2906,2460704.54,30310.0,952.0,1663747.0,2020-01-01,2022-06-30,2019-09-03,2022-10-28,2019-03-02,2023-05-01,16.0,16.0,63.0,68.0,111.0,149.0,1.0,0.0,0.9264705882352942,-5.0,0.7449664429530202,-38.0,23207.0
1-57917,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,PR,PITANGA,4119608.0,PAVIMENTACAO BAIRRO CENTRAL 2,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-02-01,2022-05-01,2287,1936044.97,30310.0,952.0,1663747.0,2019-12-03,2022-06-30,2019-08-05,2022-10-28,2019-02-01,2023-05-01,19.0,16.0,60.0,68.0,111.0,149.0,1.1875,3.0,0.8823529411764706,-8.0,0.7449664429530202,-38.0,23207.0
1-57918,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,PORTO BELO,4213500.0,PRO. TRANSPORTE - PORTO BELO - QUALIFICACAO VIARIA MUNICIPIOAVANCAR CIDADES GRUPO 1,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-04-03,2021-08-01,3188,2699034.23,21388.0,1.0,92762.0,2020-02-03,2021-09-30,2019-10-06,2022-01-28,2019-04-04,2022-08-01,11.0,2.0,25.0,15.0,41.0,43.0,5.5,9.0,1.6666666666666667,10.0,0.9534883720930232,-2.0,16591.0
1-57923,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,RS,SAPIRANGA,4319901.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE SAPIRANGA/RS,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-01-27,2021-07-01,4613,3923422.39,81734.0,57.0,137519.0,2019-11-28,2021-08-30,2019-07-31,2021-12-28,2019-01-27,2022-07-01,0.0,1.0,0.0,2.0,3.0,3.0,0.0,-1.0,0.0,-2.0,1.0,0.0,53703.0
1-57929,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,PR,IPIRANGA,4110508.0,PAVIMENTACAO EM RUAS DO CENTRO,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-11-11,2021-12-01,4486,3900045.08,15172.0,800.0,927086.0,2019-09-12,2022-01-30,2019-05-15,2022-05-30,2018-11-11,2022-12-01,1.0,0.0,4.0,1.0,11.0,3.0,inf,1.0,4.0,3.0,3.6666666666666665,8.0,8477.0
1-57956,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,MG,CARNEIRINHO,3114550.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE CARNEIRINHO MG,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-12-03,2021-03-01,914,852804.04,10027.0,431.0,2060720.0,2019-10-04,2021-04-30,2019-06-06,2021-08-28,2018-12-03,2022-03-01,2.0,0.0,2.0,2.0,4.0,2.0,inf,2.0,1.0,0.0,2.0,2.0,5460.0
1-57957,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,MG,CARNEIRINHO,3114550.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE CARNEIRINHO MG,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2019-12-03,2021-03-01,1099,930815.62,10027.0,431.0,2060720.0,2019-10-04,2021-04-30,2019-06-06,2021-08-28,2018-12-03,2022-03-01,2.0,0.0,2.0,2.0,4.0,2.0,inf,2.0,1.0,0.0,2.0,2.0,5460.0
1-57992,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,POUSO REDONDO,4213708.0,QUALIFICACAO DE VIAS - C.CONSULTA 219.2.2308/2017,RECAPEAMENTO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-04-09,2021-12-01,5442,4607720.77,17712.0,354.0,359519.0,2020-02-09,2022-01-30,2019-10-12,2022-05-30,2019-04-10,2022-12-01,0.0,1.0,0.0,1.0,5.0,3.0,0.0,-1.0,0.0,-1.0,1.6666666666666667,2.0,12784.0
1-57995,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,SC,RIO NEGRINHO,4215000.0,OBRAS DE QUALIFICACAO VIARIA DO MUNICIPIO DE RIO NEGRINHO,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-10-14,2022-12-01,3514,2978157.59,42495.0,790.0,908391.0,2020-08-15,2023-01-30,2020-04-17,2023-05-30,2019-10-15,2023-12-01,3.0,2.0,7.0,5.0,9.0,8.0,1.5,1.0,1.4,2.0,1.125,1.0,33565.0
1-58044,CONTRATADO - CONCLUIDO,CONCLUIDA,AVANÇAR PÚBLICO,FGTS,MS,IGUATEMI,5004304.0,QUALIFICACAO VIARIA NO MUNICIPIO DE IGUATEMI MS,PAVIMENTACAO,CONCLUIDA,CONCLUIDA,EM SITUAÇÃO NORMAL,100.0,2020-07-01,2022-04-01,6174,5259321.66,16176.0,342.0,2946677.0,2020-05-02,2022-05-31,2020-01-03,2022-09-28,2019-07-02,2023-04-01,0.0,2.0,0.0,4.0,7.0,4.0,0.0,-2.0,0.0,-4.0,1.75,3.0,7883.0
2-0347713,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,SANTA JULIANA,3157708.0,"RECAPEAMENTO DE VIAS PUBLICAS E CONSTRUCAO DE PASSEIOS NO MUNICIPIO DE SANTA JULIANA, ESTADO DE MINAS GERAIS.",PAVIMENTACAO,OBJETO CONCLUÍDO,OBJETO CONCLUÍDO,CONCLUÍDO,100.0,2020-04-28,2021-12-01,2457,2018388.22,11337.0,907.0,727351.0,2020-02-28,2022-01-30,2019-10-31,2022-05-30,2019-04-29,2022-12-01,9.0,1.0,16.0,8.0,22.0,8.0,9.0,8.0,2.0,8.0,2.75,14.0,8122.0
2-0370748,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,AL,SENADOR RUI PALMEIRA,2708956.0,PAVIMENTACAO E DRENAGEM EM DIVERSAS RUAS DO MUNICIPIO.,PAVIMENTACAO,OBJETO CONCLUÍDO,OBJETO CONCLUÍDO,CONCLUÍDO,100.0,2018-06-07,2021-09-01,614,587775.29,13129.0,352.0,359667.0,2018-04-08,2021-10-31,2017-12-09,2022-02-28,2017-06-07,2022-09-01,1.0,2.0,4.0,3.0,9.0,5.0,0.5,-1.0,1.3333333333333333,1.0,1.8,4.0,2184.0
2-1000655,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,PA,SANTA MARIA DAS BARREIRAS,1506583.0,PAVIMENTAÇÃO E DRENAGEM NO DISTRITO CASA DE TÁBUA,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-09-30,2019-10-01,613,579849.29,21850.0,150.0,10330170.0,2019-08-01,2019-11-30,2019-04-03,2020-03-29,2018-09-30,2020-09-30,1.0,1.0,3.0,2.0,6.0,3.0,1.0,0.0,1.5,1.0,2.0,3.0,2966.0
2-1001235,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,CONCEICAO DAS ALAGOAS,3117306.0,PAVIMENTAÇÃO ASFÁLTICA NO MUNICÍPIO DE CONCEIÇÃO DAS ALAGOAS.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2021-10-16,2021-11-01,613,503200.0,28346.0,509.0,1348222.0,2021-08-17,2021-12-31,2021-04-19,2022-04-30,2020-10-16,2022-11-01,1.0,2.0,7.0,7.0,14.0,19.0,0.5,-1.0,1.0,0.0,0.7368421052631579,-5.0,13250.0
2-1001576,CONTRATADO - EM PRESTACAO DE CONTAS,CONCLUIDA,EMENDAS,1D73,PA,REDENCAO,1506138.0,OBRAS DE PAVIMENTAÇÃO ASFÁLTICA DE VIAS URBANAS,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONTRATADA,100.0,2018-08-09,2022-09-01,1597,1380000.0,85563.0,227.0,3823787.0,2018-06-10,2022-10-31,2018-02-10,2023-02-28,2017-08-09,2023-09-01,42.0,47.0,113.0,148.0,198.0,225.0,0.8936170212765957,-5.0,0.7635135135135135,-35.0,0.88,-27.0,67512.0
2-1001637,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,IRECE,2914604.0,PAVIMENTAÇÃO DE DIVERSAS RUAS NO MUNICIPIO DE IRECÊ-BA,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-02-06,2018-06-01,1228,1030000.0,73524.0,721.0,313695.0,2017-12-08,2018-07-31,2017-08-10,2018-11-28,2017-02-06,2019-06-01,1.0,1.0,2.0,5.0,5.0,7.0,1.0,0.0,0.4,-3.0,0.7142857142857143,-2.0,36006.0
2-1001944,CONTRATADO - EM PRESTACAO DE CONTAS,CONCLUIDA,EMENDAS,1D73,MA,SAO DOMINGOS DO MARANHAO,2110708.0,PAVIMENTAÇÃO ASFÁTICA,PAVIMENTACAO,OBJETO CONCLUÍDO,OBJETO CONCLUÍDO,CONTRATADA,100.0,2020-10-01,2023-01-01,2457,2036600.0,34384.0,191.0,1303155.0,2020-08-02,2023-03-02,2020-04-04,2023-06-30,2019-10-02,2024-01-01,3.0,1.0,5.0,10.0,6.0,22.0,3.0,2.0,0.5,-5.0,0.2727272727272727,-16.0,9546.0
2-1002075,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MA,CENTRO DO GUILHERME,2103158.0,IMPLANTAÇÃO DE INFRAESTRUTURA E DESENVOLVIMENTO URBANO. PAVIMENTAÇÃO DE CALÇAMENTO EM BLOQUETES NA VIAS DA SEDE DO MUNICÍPIO DE CENTRO DO GUILHERME.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-05-02,2019-06-01,1843,1512346.94,13670.0,0.0,1074039.0,2019-03-03,2019-07-31,2018-11-03,2019-11-28,2018-05-02,2020-05-31,0.0,0.0,3.0,0.0,3.0,0.0,,0.0,inf,3.0,inf,3.0,1201.0
2-1002076,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MS,CHAPADAO DO SUL,5002951.0,INFRA ESTRUTURA URBANA - DRENAGEM DE ÁGUAS PLUVIAIS E PAVIMENTAÇÃO ASFÁLTICA.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-02-01,2018-09-01,367,413142.89,25865.0,790.0,3850693.0,2017-12-03,2018-10-31,2017-08-05,2019-02-28,2017-02-01,2019-09-01,0.0,6.0,5.0,29.0,11.0,49.0,0.0,-6.0,0.1724137931034483,-24.0,0.2244897959183673,-38.0,21923.0
2-1002154,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,CE,VICOSA DO CEARA,2314102.0,"PAVIMENTAÇÃO EM PEDRA TOSCA EM DIVERSAS VIAS, NO DISTRITO DE JUÁ DOS VIEIRAS, NO MUNICÍPIO DE VIÇOSA DO CEARÁ - CE.",PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-06-11,2020-10-01,1228,1167441.74,61410.0,717.0,1311592.0,2020-04-12,2020-11-30,2019-12-14,2021-03-30,2019-06-12,2021-10-01,3.0,13.0,19.0,28.0,49.0,56.0,0.2307692307692307,-10.0,0.6785714285714286,-9.0,0.875,-7.0,18475.0
2-1002162,CONTRATADO - EM PRESTACAO DE CONTAS,CONCLUIDA,EMENDAS,1D73,SE,TOBIAS BARRETO,2807402.0,PAVIMENTAÇÃO DE VIAS PÚBLICAS NA SEDE DO MUNICÍPIO DE TOBIAS BARRETO.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONTRATADA,100.0,2021-03-02,2021-03-01,527,430000.0,52530.0,158.0,1032829.0,2021-01-01,2021-04-30,2020-09-03,2021-08-28,2020-03-02,2022-03-01,11.0,9.0,25.0,24.0,50.0,49.0,1.2222222222222223,2.0,1.0416666666666667,1.0,1.020408163265306,1.0,19230.0
